age,sex,adj1,adj2,adj3,adj4,adj5,celeb1_name,celeb2_name,celeb3_name,celeb4_name,celeb5_name
28,female,bright,clear,crisp,energetic,youthful,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
71,male,nasal,thin,high-pitched,reedy,quavery,John Oliver,Tom Kenny,Patton Oswalt,David Koechner,Will Forte
55,female,sharp,witty,acerbic,dry,sarcastic,Janice Dickinson,Phyllis Diller,Wendi McLendon-Covey,Kathy Griffin,Molly Shannon
38,male,smooth,baritone,calm,gentle,warm,Hugh Bonneville,Theo James,Sam Heughan,Richard Madden,Tom Hiddleston
71,female,bright,chirpy,high-pitched,effervescent,youthful,Julie Gonzalo,Kelli Berglund,America Ferrera,Abigail Breslin,Raini Rodriguez
28,male,nasal,thin,reedy,high,whiny,Seann William Scott,Jack Black,Seth Rogen,Josh Peck,Will Forte
37,male,smooth,calm,low,gentle,soothing,Hugh Bonneville,Sam Neill,James Earl Jones,Alan Rickman,Jeremy Irons
71,female,high-pitched,bright,chirpy,twittering,effervescent,Jenna Fischer,Carrie Underwood,Olivia Munn,Amy Schumer,Lea Michele
28,male,nasal,thin,reedy,high,whiny,Seann William Scott,Jason Segel,Zach Galifianakis,Jack Black,Josh Peck
55,female,breathy,sultry,whispery,seductive,low,Sanaa Lathan,Thandie Newton,Katheryn Winnick,Tatyana Ali,Jennifer Beals
62,female,gravelly,raspy,low,breathy,husky,Phyllis Diller,Miriam Margolyes,Joan Chen,Janice Dickinson,Milla Jovovich
37,male,smooth,resonant,warm,deep,mellifluous,Henry Cavill,Sam Worthington,Hugh Bonneville,Theo James,James Earl Jones
71,male,thin,reedy,high-pitched,nasal,quavering,John Oliver,Tim Minchin,Bill Nighy,Steve Martin,Michael C. Hall
28,female,bright,clear,youthful,chirpy,lively,Abigail Breslin,Kiernan Shipka,Dove Cameron,Kelli Berglund,Raini Rodriguez
51,male,gruff,rumbling,powerful,booming,gravelly,Brian Blessed,James Cosmo,Ron Perlman,John Goodman,Fred Williamson
37,female,breathy,husky,smooth,low,sultry,Katheryn Winnick,Sanaa Lathan,Jennifer Beals,Kate Beckinsale,Zoe Saldana
62,male,gravelly,resonant,deep,raspy,authoritative,Brian Blessed,James Earl Jones,John Hurt,Willem Dafoe,Jon Hamm
28,female,bright,clear,sweet,youthful,energetic,Abigail Breslin,Kiernan Shipka,Ashley Greene,Miley Cyrus,Anna Kendrick
71,male,thin,reedy,high-pitched,quirky,whimsical,Tim Minchin,Steve Martin,John Cleese,Michael C. Hall,Bill Nighy
37,male,high-pitched,nasal,reedy,nervous,thin,Aaron Yoo,Neil Gaiman,Josh Peck,Max Schneider,Seann William Scott
71,female,crisp,bright,clear,sharp,energetic,Joanna Lumley,Phyllis Diller,Miriam Margolyes,Leslie Mann,Dawn French
28,male,deep,rumbling,gravelly,authoritative,smooth,James Earl Jones,Brian Blessed,Chiwetel Ejiofor,John Amos,Tom Kenny
51,female,sweet,gentle,soft,mellow,calm,Amanda Seyfried,Kelly Macdonald,Katheryn Winnick,Shiri Appleby,Caitriona Balfe
62,female,gravelly,raspy,low,husky,warm,Phyllis Diller,Miriam Margolyes,Joan Chen,Margo Martindale,Jenifer Lewis
37,male,smooth,resonant,deep,mellifluous,clear,Henry Cavill,Theo James,Sam Heughan,Hugh Bonneville,Sebastian De Souza
28,female,bright,chirpy,youthful,clear,optimistic,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
71,male,gruff,booming,powerful,gravelly,authoritative,Brian Blessed,James Earl Jones,John Amos,Fred Williamson,Bruce Boxleitner
45,female,crisp,precise,sharp,clear,refined,Constance Zimmer,Leslie Mann,Kelly Macdonald,Lizzy Caplan,Lucy Punch
37,female,smooth,silvery,gentle,calm,resonant,Kelly Macdonald,Amanda Seyfried,Morena Baccarin,Caitriona Balfe,Katheryn Winnick
72,male,gravelly,raspy,gruff,deep,world-weary,Brian Blessed,Willem Dafoe,James Earl Jones,John Hurt,Harvey Keitel
61,female,high-pitched,breathy,quirky,nasally,bright,Phyllis Diller,Molly Shannon,Dawn French,Jennifer Saunders,Kristen Johnston
28,male,clear,bright,energetic,youthful,optimistic,Aaron Yoo,Max Schneider,Chace Crawford,Keegan Allen,Scott Speedman
55,female,husky,low,sultry,rich,mellow,Taraji P. Henson,Sanaa Lathan,Alfre Woodard,Viola Davis,Jenifer Lewis
37,male,smooth,baritone,calm,measured,gentle,Hugh Bonneville,James Earl Jones,Benedict Cumberbatch,Anthony Mackie,Sam Worthington
71,female,breathy,high-pitched,twangy,quirky,effervescent,Phyllis Diller,Lily Cole,Jennifer Saunders,Molly Shannon,Dawn French
28,male,nasal,thin,reedy,high,boyish,Aaron Yoo,Max Schneider,Chris Colfer,Asa Butterfield,Neil Gaiman
51,female,crisp,clear,strong,authoritative,confident,Taraji P. Henson,Sanaa Lathan,Viola Davis,Constance Zimmer,Alfre Woodard
67,female,gravelly,raspy,low,resonant,warm,Joan Chen,Miriam Margolyes,Glenn Close,Wanda Sykes,Leslie Mann
38,male,smooth,mellifluous,clear,calm,gentle,Hugh Bonneville,Theo James,Sam Heughan,Sebastian De Souza,Max Irons
72,male,booming,powerful,gravelly,authoritative,deep,Brian Blessed,James Earl Jones,John Amos,John Hurt,Fred Williamson
28,female,bright,cheerful,high-pitched,bubbly,clear,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
45,female,crisp,precise,clear,strong,confident,Katheryn Winnick,Sanaa Lathan,Taraji P. Henson,Olivia Colman,Constance Zimmer
67,female,gravelly,raspy,husky,low,warm,Phyllis Diller,Miriam Margolyes,Joan Chen,Margo Martindale,Susan Lucci
33,male,smooth,resonant,deep,clear,calm,Henry Cavill,Theo James,Sam Worthington,Hugh Bonneville,Sebastian De Souza
72,male,high-pitched,quirky,whimsical,slightly,nasal,Tim Minchin,Jack Black,Steve Martin,John Oliver,Tom Kenny
48,female,bright,cheerful,bubbly,lively,youthful,Witney Carson,America Ferrera,Jenna Fischer,Abigail Breslin,Dove Cameron
28,female,soft,gentle,sweet,melodic,clear,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Lea Michele,Katherine Heigl
62,female,gravelly,raspy,low,smoky,husky,Janice Dickinson,Miriam Margolyes,Phyllis Diller,Joan Chen,Wanda Sykes
35,male,bright,clear,resonant,energetic,youthful,Chris Colfer,Aaron Yoo,Max Schneider,Keegan Allen,Darren Criss
71,male,deep,booming,gravelly,authoritative,resonant,Brian Blessed,James Earl Jones,John Amos,John Hurt,Ron Perlman
48,female,soft,gentle,mellow,soothing,whispery,Amanda Seyfried,Kelly Macdonald,Shiri Appleby,Saoirse Ronan,Katherine Heigl
28,female,high-pitched,bright,quirky,whimsical,effervescent,Abigail Breslin,Kiernan Shipka,Jennette McCurdy,Raini Rodriguez,Kelli Berglund
62,female,gravelly,raspy,low,husky,world-weary,Phyllis Diller,Miriam Margolyes,Joan Chen,Janice Dickinson,Leslie Mann
37,male,smooth,resonant,warm,deep,confident,Henry Cavill,Idris Elba,Hugh Bonneville,Sam Worthington,Theo James
28,female,bright,chirpy,youthful,clear,energetic,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
71,male,gruff,booming,powerful,resonant,authoritative,Brian Blessed,James Earl Jones,John Amos,John Hurt,Ron Perlman
49,female,soft,gentle,mellow,calm,soothing,Kelly Macdonald,Amanda Seyfried,Jenna Fischer,Olivia Colman,Poppy Montgomery
37,female,breathy,husky,sultry,smooth,low,Katheryn Winnick,Sanaa Lathan,Morena Baccarin,Jennifer Beals,Leslie Mann
62,male,gravelly,resonant,deep,raspy,powerful,Brian Blessed,James Earl Jones,John Hurt,Ron Perlman,Willem Dafoe
28,female,bright,clear,energetic,chirpy,youthful,Abigail Breslin,Kiernan Shipka,Raini Rodriguez,Kelli Berglund,Ashley Greene
71,male,thin,reedy,high-pitched,quavering,weak,Bill Nighy,John Cleese,Peter Jacobson,Stephen Fry,Tom Kenny
37,female,smooth,sultry,gravelly,low,husky,Katheryn Winnick,Sanaa Lathan,Taraji P. Henson,Jennifer Beals,Debi Mazar
62,male,raspy,gravelly,resonant,deep,powerful,Brian Blessed,James Earl Jones,John Hurt,Ron Perlman,Willem Dafoe
28,female,bright,clear,chirpy,youthful,sweet,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
71,male,thin,reedy,high-pitched,quavering,weak,David Mamet,John Cleese,Stephen Fry,Michael Crichton,Tom Kenny
62,female,gravelly,raspy,low,harsh,resonant,Miriam Margolyes,Phyllis Diller,Joan Chen,Marcia Cross,Glenn Close
35,male,smooth,baritone,calm,deep,gentle,Hugh Bonneville,James Earl Jones,Sam Worthington,Henry Cavill,Theo James
71,female,breathy,high-pitched,thin,tremulous,sweet,Carrie Fisher,Rue McClanahan,Shirley MacLaine,Lily Cole,Jessica De Gouw
28,male,nasal,whiny,thin,high,reedy,Seann William Scott,Jack Black,Chris Colfer,Neil Gaiman,Josh Peck
47,female,bright,clear,strong,crisp,energetic,Constance Zimmer,Retta,Sanaa Lathan,Taraji P. Henson,Jennifer Saunders
37,female,husky,smooth,resonant,gravelly,low,Katheryn Winnick,Sanaa Lathan,Taraji P. Henson,Jennifer Beals,Constance Zimmer
62,male,raspy,gravelly,booming,deep,powerful,Brian Blessed,James Earl Jones,John Amos,Ron Perlman,Fred Williamson
28,female,bright,clear,sweet,youthful,chirpy,Abigail Breslin,Kiernan Shipka,Ashley Greene,Kelli Berglund,Raini Rodriguez
71,male,thin,reedy,high-pitched,brittle,quavering,Stephen Fry,Bill Nighy,John Cleese,Jeremy Piven,Michael Crichton
55,female,crisp,sharp,authoritative,strong,clear,Glenn Close,Meryl Streep,Margo Martindale,Leslie Mann,Joan Chen
37,female,breathy,husky,smooth,low,sultry,Katheryn Winnick,Sanaa Lathan,Cote de Pablo,Jennifer Beals,Thandie Newton
62,male,gravelly,resonant,deep,raspy,authoritative,Brian Blessed,James Earl Jones,John Hurt,Ron Perlman,Willem Dafoe
28,female,bright,clear,energetic,youthful,chirpy,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Brittany Snow
71,male,thin,high-pitched,reedy,quavering,nervous,John Oliver,Steve Martin,Tim Minchin,David Letterman,Patton Oswalt
49,female,warm,rich,mellow,comforting,gentle,Alfre Woodard,Olivia Colman,Julie Gonzalo,Mary-Louise Parker,Joan Chen
62,female,gravelly,raspy,whispering,low, husky,Phyllis Diller,Miriam Margolyes,Leslie Mann,Dawn French,Joan Chen
35,male,smooth,resonant,warm,clear,gentle,Hugh Bonneville,Sam Heughan,Theo James,Richard Madden,Josh Henderson
71,male,booming,powerful,gravelly,deep,resonant,Brian Blessed,James Earl Jones,John Amos,John Hurt,Fred Williamson
28,female,bright,high-pitched,clear,sweet,bubbly,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
47,female,crisp,precise,clear,authoritative,strong,Constance Zimmer,Sanaa Lathan,Taraji P. Henson,Alfre Woodard,Katheryn Winnick
37,female,breathy,husky,sultry,smooth,low,Katheryn Winnick,Sanaa Lathan,Taraji P. Henson,Jennifer Beals,Morena Baccarin
62,male,gravelly,raspy,resonant,deep,powerful,Brian Blessed,James Earl Jones,John Hurt,Willem Dafoe,Harvey Keitel
28,female,bright,clear,chirpy,youthful,energetic,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Ashley Greene
71,male,thin,reedy,high-pitched,nasal,quavering,Tom Kenny,Patton Oswalt,Bill Nighy,John Cleese,Michael Crichton
37,female,husky,gravelly,smooth,low,sultry,Katheryn Winnick,Taraji P. Henson,Leslie Mann,Debi Mazar,Constance Zimmer
62,male,raspy,gravelly,resonant,deep,powerful,Brian Blessed,James Earl Jones,John Amos,John Hurt,Ron Perlman
28,female,bright,clear,energetic,youthful,chirpy,Abigail Breslin,Kiernan Shipka,Ashley Greene,Kelli Berglund,Raini Rodriguez
71,male,thin,reedy,high-pitched,brittle,whispery,Bill Nighy,Stephen Fry,Tom Kenny,Patton Oswalt,David Mamet
67,female,gravelly,raspy,resonant,low,warm,Miriam Margolyes,Phyllis Diller,Joan Chen,Wanda Sykes,Glenn Close
33,male,bright,clear,energetic,youthful,crisp,Chris Colfer,Aaron Yoo,Chace Crawford,Max Schneider,Keegan Allen
72,male,gruff,booming,powerful,rumbling,deep,Brian Blessed,James Earl Jones,John Amos,Fred Williamson,John Hurt
48,female,soft,gentle,melodic,sweet,soothing,Amanda Seyfried,Kelly Macdonald,Morena Baccarin,Sarah Drew,Shiri Appleby
28,female,high-pitched,breathy,nasally,quirky,light,Jennette McCurdy,Abigail Breslin,Kiernan Shipka,Raini Rodriguez,Bethany Mota
37,female,breathy,husky,smooth,sultry,low,Katheryn Winnick,Sanaa Lathan,Jennifer Beals,Morena Baccarin,Kate Beckinsale
62,male,gravelly,raspy,resonant,deep,powerful,Brian Blessed,James Earl Jones,John Hurt,Ron Perlman,Willem Dafoe
28,female,bright,clear,chirpy,youthful,energetic,Abigail Breslin,Kiernan Shipka,Ashley Greene,Raini Rodriguez,Kelli Berglund
71,male,thin,reedy,high-pitched,quavering,weak,John Cleese,Tom Kenny,Peter Jackson,Michael Crichton,Patton Oswalt
37,female,soft,breathy,gentle,whispery,mellow,Amanda Seyfried,Shiri Appleby,Kate Voegele,Abigail Breslin,Kiernan Shipka
62,male,gravelly,resonant,deep,rumbling,authoritative,Brian Blessed,James Earl Jones,John Hurt,Ron Perlman,Willem Dafoe
71,female,sharp,crisp,acerbic,witty,cutting,Phyllis Diller,Miriam Margolyes,Joan Chen,Jennifer Saunders,Janice Dickinson
28,male,nasal,high-pitched,reedy,thin,quirky,Seann William Scott,Jack Black,Neil Gaiman,Tom Kenny,Chris Colfer
49,female,smooth,silky,warm,soothing,velvety,Morena Baccarin,Sanaa Lathan,Kerry Washington,Cote de Pablo,Taraji P. Henson
38,female,smooth,resonant,warm,melodic,clear,Kelly Macdonald,Amanda Seyfried,Morena Baccarin,Caitriona Balfe,Katheryn Winnick
62,male,gravelly,raspy,deep,authoritative,gruff,Brian Blessed,James Earl Jones,John Hurt,Willem Dafoe,Ron Perlman
28,female,bright,youthful,energetic,clear,bubbly,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
71,male,thin,high-pitched,reedy,quavering,weak,Tom Kenny,Michael C. Hall,David Koechner,Patton Oswalt,Will Forte
55,female,sharp,crisp,precise,strong,direct,Glenn Close,Margo Martindale,Meryl Streep,Leslie Mann,Kathy Griffin
67,female,gravelly,raspy,world-weary,whispering,haunting,Miriam Margolyes,Phyllis Diller,Joan Chen,Marcia Gay Harden,Ruth McClanahan
38,male,smooth,baritonal,resonant,confident,magnetic,Henry Cavill,Idris Elba,Hugh Bonneville,Damian Lewis,Sam Worthington
28,female,bright,chirpy,effervescent,youthful,bubbly,Amanda Seyfried,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez
72,male,gruff,gravelly,booming,authoritative,rumbling,Brian Blessed,James Earl Jones,John Amos,Fred Williamson,Ron Perlman
45,female,breathy,sultry,husky,seductive,sinuous,Katheryn Winnick,Sanaa Lathan,Taraji P. Henson,Mallika Sherawat,Jennifer Beals
62,female,gravelly,whispering,raspy,sultry,knowing,Joan Chen,Miriam Margolyes,Leslie Mann,Milla Jovovich,Glenn Close
38,male,high-pitched,nasally,reedy,nervous,effeminate,Neil Gaiman,Aaron Yoo,Max Schneider,Seann William Scott,Jack Black
71,male,booming,resonant,authoritative,gravelly,commanding,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Charles Dance
27,female,bright,chirpy,bubbly,effervescent,youthful,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
51,female,sharp,precise,cutting,icy,unyielding,Janice Dickinson,Katheryn Winnick,Tilda Swinton,Constance Zimmer,Kate Beckinsale
62,female,gravelly,raspy,world-weary,husky,knowing,Joan Chen,Miriam Margolyes,Marcia Cross,Glenn Close,Linda Lavin
38,male,smooth,resonant,calm,authoritative,gentle,Henry Cavill,Hugh Bonneville,Theo James,Sam Worthington,Richard Madden
71,male,thin,reedy,high-pitched,quavering,nervous,Michael C. Hall,John Oliver,Alan Alda,Tim Minchin,Steve Martin
28,female,bright,chirpy,youthful,bubbly,effervescent,Amanda Seyfried,Abigail Breslin,Kiernan Shipka,Dove Cameron,Kelli Berglund
55,male,booming,powerful,gravelly,resonant,commanding,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Charles Dance
67,female,gravelly,rasping,weathered,world-weary,resonant,Miriam Margolyes,Phyllis Diller,Joan Chen,Margo Martindale,Jenifer Lewis
38,male,smooth,urbane,cultivated,mellifluous,charming,Hugh Bonneville,Theo James,Sebastian De Souza,Matt Smith,James McAvoy
28,female,bright,chirpy,effervescent,youthful,energetic,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
72,male,booming,authoritative,gravelly,commanding,robust,Brian Blessed,James Earl Jones,John Amos,Fred Williamson,John Hurt
51,female,thin,reedy,brittle,nervous,high-pitched,Kristen Johnston,Molly Shannon,Lucy Punch,Wendi McLendon-Covey,Ana Gasteyer
62,female,gravelly,raspy,world-weary,whispering,somber,Miriam Margolyes,Joan Chen,Glenn Close,Wanda Sykes,Phyllis Diller
37,male,smooth,resonant,confident,mellifluous,authoritative,Henry Cavill,Hugh Bonneville,Damian Lewis,Idris Elba,Sam Heughan
71,male,high-pitched,quirky,nasally,effervescent,unpredictable,Tim Minchin,Jack Black,Stephen Fry,John Oliver,Bill Nighy
28,female,bright,clear,youthful,energetic,optimistic,Abigail Breslin,Kiernan Shipka,Ashley Greene,Dove Cameron,Kelli Berglund
49,male,gruff,deep,gravelly,rumbling,intimidating,Brian Blessed,James Earl Jones,Ron Perlman,Charles Dance,Harvey Keitel
37,female,breathy,husky,sultry,raspy,charming,Scarlett Johansson,Laura Dern,Katheryn Winnick,Sanaa Lathan,Caitriona Balfe
62,male,gravelly,resonant,authoritative,deep,world-weary,Brian Blessed,James Earl Jones,John Hurt,John Goodman,Ron Perlman
28,female,bright,chirpy,youthful,effervescent,bubbly,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
71,male,thin,reedy,high-pitched,quavering,nervous,John Oliver,Tim Minchin,Stephen Fry,Patton Oswalt,Alan Rickman
67,female,gravelly,raspy,world-weary,whispering,knowing,Joan Chen,Miriam Margolyes,Phyllis Diller,Jean Smart,Ruby Dee
38,male,smooth,resonant,mellifluous,confident,charming,Hugh Bonneville,Sebastian De Souza,Theo James,Sam Heughan,Max Irons
72,male,gruff,booming,authoritative,gravelly,unyielding,Brian Blessed,James Earl Jones,John Amos,Ron Perlman,James Cosmo
28,female,bright,chirpy,bubbly,youthful,energetic,Witney Carson,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez
51,female,crisp,precise,cutting,icy,controlled,Katheryn Winnick,Sanaa Lathan,Tilda Swinton,Olivia Colman,Viola Davis
37,female,breathy,husky,gravelly,seductive,sultry,Scarlett Johansson,Morena Baccarin,Kate Beckinsale,Sanaa Lathan,Katheryn Winnick
62,male,raspy,gravelly,world-weary,resonant,authoritative,Brian Blessed,Willem Dafoe,John Hurt,James Earl Jones,Ron Perlman
28,female,bright,chirpy,effervescent,youthful,giddy,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
71,male,creaky,whispery,quavery,amused,knowing,John Cleese,Alan Rickman,Stephen Fry,Bill Nighy,Peter Jackson
37,female,breathy,husky,sultry,raspy,seductive,Katheryn Winnick,Jennifer Beals,Sanaa Lathan,Leslie Mann,Debi Mazar
72,male,gravelly,resonant,authoritative,booming,world-weary,Brian Blessed,James Earl Jones,John Hurt,John Amos,James Cosmo
28,female,bright,chirpy,youthful,bubbly,effervescent,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
55,male,nasal,whiny,irritable,petulant,thin,Jeremy Piven,John Oliver,Seth Rogen,Patton Oswalt,Will Forte
61,female,sharp,acerbic,witty,cutting,sardonic,Phyllis Diller,Joan Chen,Miriam Margolyes,Wanda Sykes,Jennifer Saunders
37,female,husky,gravelly,knowing,slightly raspy,world-weary,Taraji P. Henson,Leslie Mann,Laura Dern,Constance Zimmer,Deborah Jo Rupp
62,male,booming,resonant,authoritative,gravelly,commanding,Brian Blessed,James Earl Jones,John Goodman,John Hurt,Charles Dance
28,female,bright,chirpy,effervescent,youthful,optimistic,Amanda Seyfried,Abigail Breslin,Dove Cameron,Jenna Fischer,Cierra Ramirez
71,male,thin,reedy,nervous,high-pitched,tremulous,Bill Nighy,John Oliver,Tom Kenny,Patton Oswalt,David Koechner
45,female,smooth,silvery,sophisticated,cultured,enchanting,Joan Chen,Morena Baccarin,Katheryn Winnick,Sanaa Lathan,Olivia Colman
67,female,gravelly,raspy,world-weary,whispery,knowing,Phyllis Diller,Miriam Margolyes,Joan Chen,Glenn Close,Jean Smart
38,male,smooth,resonant,confident,warm,authoritative,Henry Cavill,Hugh Bonneville,Sam Heughan,Theo James,Idris Elba
28,female,bright,chirpy,bubbly,youthful,effervescent,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
72,male,gruff,booming,gravelly,unrefined,powerful,Brian Blessed,James Earl Jones,John Amos,Fred Williamson,Christopher Walken
45,female,nasal,sharp,brittle,cutting,precise,Janice Dickinson,Leslie Mann,Mindy Kaling,Wendi McLendon-Covey,Molly Shannon
37,female,husky,gravelly,raspy,knowing,world-weary,Tilda Swinton,Joan Chen,Katheryn Winnick,Leslie Mann,Mira Furlan
62,male,booming,resonant,authoritative,gravelly,commanding,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Charles Dance
71,female,breathy,high-pitched,slightly,nasal,quavering,Phyllis Diller,Rue McClanahan,Dawn French,Jennifer Saunders,Miriam Margolyes
28,male,smooth,velvety,charming,urbane,suave,Theo James,Henry Cavill,Sebastian De Souza,Ryan Phillippe,Chace Crawford
55,female,crisp,clear,precise,articulate,educated,Olivia Colman,Constance Zimmer,Sarah Paulson,Jenna Fischer,Kelly Macdonald
37,female,breathy,husky,sultry,gravelly,melodic,Katheryn Winnick,Morena Baccarin,Kelly Macdonald,Jennifer Beals,Sanaa Lathan
72,male,rasping,gravelly,world-weary,resonant,authoritative,Brian Blessed,John Hurt,James Earl Jones,Willem Dafoe,John Goodman
28,female,high-pitched,bright,chirpy,effervescent,youthful,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
55,male,smooth,urbane,polished,velvety,enunciated,Hugh Bonneville,Idris Elba,Henry Cavill,Damian Lewis,Matthew Goode
61,female,sharp,witty,acerbic,cutting,precise,Miriam Margolyes,Phyllis Diller,Jennifer Saunders,Wanda Sykes,Joan Chen
62,female,gravelly,whispering,raspy,knowing,world-weary,Miriam Margolyes,Phyllis Diller,Joan Chen,Susan Lucci,Ruth McClanahan
37,male,smooth,resonant,charming,urbane,confident,Hugh Bonneville,James Earl Jones,Idris Elba,Henry Cavill,Paul Gross
71,male,breathy,tremulous,high-pitched,nervous,childlike,Stephen Fry,Bill Nighy,John Oliver,Tom Kenny,Michael C. Hall
28,female,bright,bubbly,effervescent,youthful,giggly,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Teala Dunn
49,male,gruff,booming,authoritative,gravelly,intimidating,Brian Blessed,James Cosmo,Ron Perlman,Fred Williamson,John Amos
37,male,smooth,urbane,charming,mellifluous,confidential,James Earl Jones,Hugh Laurie,Paul Gross,Tom Kenny,James Roday
71,female,breathy,high-pitched,childlike,quirky,giggly,Dawn French,Jennifer Saunders,Phyllis Diller,Rue McClanahan,Molly Shannon
28,male,nasal,whiny,irritable,petulant,thin,Seann William Scott,Jack Black,Seth Rogen,Will Forte,Chris Colfer
51,female,crisp,authoritative,powerful,commanding,clear,Katheryn Winnick,Sanaa Lathan,Taraji P. Henson,Viola Davis,Constance Zimmer
37,female,husky,gravelly,raspy,knowing,world-weary,Joss Stone,Nancy Cartwright,Leslie Mann,Mira Furlan,Taraji P. Henson
62,male,booming,resonant,authoritative,gravelly,commanding,James Earl Jones,Brian Blessed,John Goodman,Charles Dance,Ron Perlman
28,female,bright,lilting,youthful,chirpy,effervescent,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
71,male,thin,reedy,brittle,whispering,tremulous,John Hurt,Bill Nighy,Alan Rickman,John Cleese,Tom Kenny
55,female,sharp,acerbic,witty,cutting,precise,Phyllis Diller,Miriam Margolyes,Wanda Sykes,Jennifer Saunders,Kathy Griffin
37,female,husky,gravelly,raspy,warm,knowing,Taraji P. Henson,Constance Zimmer,Kate Mansi,Leslie Mann,Wendi McLendon-Covey
62,male,resonant,booming,authoritative,gravelly,commanding,Brian Blessed,James Earl Jones,John Goodman,Charles Dance,Ron Perlman
28,female,bright,clear,chirpy,youthful,effervescent,Abigail Breslin,Kiernan Shipka,Dove Cameron,Raini Rodriguez,Kelli Berglund
71,male,thin,reedy,whispery,quavering,frail,Bill Nighy,John Hurt,Peter O'Toole,Christopher Mintz-Plasse,Tom Kenny
49,female,sharp,witty,acerbic,cutting,precise,Joan Chen,Jennifer Saunders,Kathy Griffin,Kristen Wiig,Wanda Sykes
37,female,breathy,husky,sultry,whispering,seductive,Morena Baccarin,Katheryn Winnick,Shiri Appleby,Jennifer Beals,Kate Voegele
62,male,gravelly,resonant,authoritative,booming,world-weary,Brian Blessed,James Earl Jones,John Hurt,John Amos,James Cosmo
28,female,bright,chirpy,effervescent,youthful,giggly,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
71,male,raspy,wheezy,crackling,thin,reedy,Willem Dafoe,John Cleese,Peter Jackson,Alan Rickman,David Warner
55,female,sharp,acerbic,cutting,precise,witty,Miriam Margolyes,Phyllis Diller,Joan Chen,Glenn Close,Wanda Sykes
37,female,husky,gravelly,world-weary,mellow,raspy,Joan Chen,Katheryn Winnick,Kelly Macdonald,Leslie Mann,Laura Dern
62,male,resonant,authoritative,gravelly,smooth,commanding,James Earl Jones,Brian Blessed,John Hurt,Ron Perlman,Charles Dance
28,female,bright,lilting,youthful,effervescent,clear,Amanda Seyfried,Kiernan Shipka,Abigail Breslin,Kelli Berglund,Dove Cameron
71,male,wheezy,croaky,raspy,amused,quizzical,John Cleese,Bill Nighy,Alan Rickman,Stephen Fry,Christopher Mintz-Plasse
55,female,sharp,witty,acerbic,cutting,precise,Miriam Margolyes,Phyllis Diller,Jennifer Saunders,Wanda Sykes,Kathy Griffin
62,female,gravelly,whispering,husky,raspy,world-weary,Miriam Margolyes,Phyllis Diller,Joan Chen,Leslie Mann,Dawn French
37,male,smooth,baritone,resonant,mellifluous,charming,Henry Cavill,Hugh Bonneville,Theo James,Sam Worthington,Sebastian De Souza
71,male,high-pitched,tremulous,nasal,quavering,nervous,Stephen Fry,John Oliver,Tim Minchin,Will Mellor,Rob Brydon
28,female,bright,bubbly,chirpy,effervescent,youthful,Abigail Breslin,Kiernan Shipka,Kelli Berglund,Raini Rodriguez,Dove Cameron
49,male,gruff,booming,authoritative,gravelly,commanding,Brian Blessed,James Earl Jones,John Goodman,Ron Perlman,Fred Williamson
62,female,gravelly,whispery,knowing,raspy,world-weary,Joan Chen,Miriam Margolyes,Glenn Close,Meryl Streep,Phyllis Diller
28,female,bright,chirpy,effervescent,youthful,giddy,Abigail Breslin,Kristen Bell,Amanda Seyfried,Dove Cameron,Kelli Berglund
